model,h097,h100,h103,h106,h109,h112,h114,average
svm_npr_m_/r_/svm_npr__max_balanced_0_new,0.6722042139384117,0.7046991812032752,0.7539735099337749,0.766767778901247,0.807163531114327,0.8255813953488372,0.8136676499508357,0.7634367514843869
svm_npr_m_/r_/svm_npr__bayram_new,0.619,0.655,0.727,0.657,0.752,0.79,0.774,0.7105714285714286
svm_npr_m_/r_/svm_npr__bayram_3_7_new,0.635,0.647,0.733,0.671,0.762,0.808,0.78,0.7194285714285715
svm_npr_m_/r_/svm_npr__bayram_1_1_new,0.638,0.652,0.734,0.674,0.766,0.804,0.78,0.7211428571428572
svm_m_/r_/svm_r__,0.566,0.641,0.727,0.657,0.753,0.789,0.747,0.6971428571428572
svm_m_/r_/svm_fullgrid_r__,0.615,0.653,0.726,0.66,0.754,0.791,0.773,0.7102857142857142
svm_m_/r_/svm_cv_c_r__,0.617,0.653,0.726,0.658,0.76,0.785,0.772,0.7101428571428572
svm_m_/r_/svm2_r__,0.601,0.574,0.72,0.65,0.754,0.776,0.774,0.6927142857142857
svm_cv_c_tfidf_m_/r_/svm_cv_c_tfidf__bayram_new,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
svm_cv_c_m_/r_/svm_cv_c_r___max_balanced_0,0.6738249594813615,,,,,,,0.6738249594813615
svm_cv_c_m_/r_/svm_cv_c__max_balanced_0_new,0.5,0.5,0.5,,,,,0.5
svm_cv_c_m_/r_/svm_cv_c__bayram_new,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
svm_bayram_baseline,0.623,0.639,0.711,0.685,0.754,0.783,0.779,0.7105714285714286
sk_logistic_m_/r_/sk_logisticcv_r__,0.606,0.632,0.706,0.651,0.713,0.77,0.744,0.6888571428571427
sk_logistic_m_/r_/sk_logisticcv2_r__,0.589,0.62,0.706,0.656,0.754,0.777,0.738,0.6914285714285714
sk_logistic_m_/r_/sk_logistic_r__,0.6,0.627,0.703,0.659,0.743,0.776,0.733,0.6915714285714285
rf_m_/r_/rf_r__,0.553,0.592,0.635,0.644,0.716,0.742,0.696,0.6539999999999999
rf_cv_per4e_tfidf_m_/r_/rf_cv_per4e_tfidf__bayram_new,0.584,0.614,0.664,0.674,0.714,0.735,0.735,0.6742857142857143
rf_cv_per4e_m_/r_/rf_cv_per4e__bayram_new,0.6,0.605,0.667,0.657,0.724,0.742,0.715,0.6728571428571428
rf_cv_per4e_m_/r_/rf_cv_per4e__bayram_3_7_new,0.591,0.598,0.665,0.663,0.701,0.756,0.722,0.6708571428571428
rf_cv_per4e_m_/r_/rf_cv_per4e__bayram_1_1_new,0.595,0.623,0.672,0.662,0.715,0.739,0.728,0.6762857142857143
rf_cv_m_/r_/rf_cv_r__,0.588,0.616,0.666,0.663,0.717,0.745,0.717,0.6731428571428573
rf_cv_m_/r_/rf_cv_per_r__,0.562,0.584,0.662,0.655,0.724,0.759,0.732,0.6682857142857143
rf_cv_m_/r_/rf_cv_per4g_r__,0.59,0.608,0.673,0.682,0.738,0.78,0.729,0.6857142857142857
rf_cv_m_/r_/rf_cv_per4e_r__,0.589,0.61,0.658,0.666,0.728,0.786,0.736,0.6818571428571427
rf_cv_m_/r_/rf_cv_per3_r__,0.577,0.61,,0.67,0.719,0.773,0.727,0.6793333333333332
rf_cv_m_/r_/rf_cv_per2_r__,,0.597,0.677,0.645,0.742,0.765,0.735,0.6935000000000001
