filename	trueclass	predclass_prob	numfeatures
d_adam_schiff_20070208_1100013605.txt	1	0.820792	22716
d_adam_schiff_20070212_1100014066.txt	1	0.80236524	22716
d_adam_schiff_20070214_1100015079.txt	1	0.9975944	22716
d_adam_schiff_20070503_1100041485.txt	1	0.4102635	22716
d_adam_schiff_20070503_1100041487.txt	1	0.23244259	22716
d_adam_schiff_20070503_1100041491.txt	1	0.23548657	22716
d_adam_schiff_20070503_1100041492.txt	1	0.14312673	22716
d_adam_schiff_20070510_1100045167.txt	1	0.7830471	22716
d_adam_schiff_20070524_1100051953.txt	1	0.9075767	22716
d_adam_schiff_20070613_1100057525.txt	1	0.7802577	22716
d_adam_schiff_20070620_1100061581.txt	1	0.57696885	22716
d_adam_schiff_20070626_1100065813.txt	1	0.44043657	22716
d_adam_schiff_20070712_1100071316.txt	1	0.9503528	22716
d_adam_schiff_20070719_1100075623.txt	1	0.9667531	22716
d_adam_schiff_20070719_1100075647.txt	1	0.9082982	22716
d_adam_schiff_20070719_1100075651.txt	1	0.93270665	22716
d_adam_schiff_20070723_1100077421.txt	1	0.7377264	22716
d_adam_schiff_20070723_1100077427.txt	1	0.6914577	22716
d_adam_schiff_20070723_1100077431.txt	1	0.49990565	22716
d_adam_schiff_20070723_1100077436.txt	1	0.36346304	22716
d_adam_schiff_20070724_1100078905.txt	1	0.80619496	22716
d_adam_schiff_20070724_1100078924.txt	1	0.74288553	22716
d_adam_schiff_20070726_1100080753.txt	1	0.7335625	22716
d_adam_schiff_20070726_1100080762.txt	1	0.2586184	22716
d_adam_schiff_20070726_1100080780.txt	1	0.7100393	22716
d_adam_schiff_20070726_1100080862.txt	1	0.65678626	22716
d_adam_schiff_20070726_1100080866.txt	1	0.79612255	22716
d_adam_schiff_20070803_1100088435.txt	1	0.5408583	22716
d_adam_schiff_20071205_1100121626.txt	1	0.50741756	22716
d_adam_schiff_20071206_1100122532.txt	1	0.7984091	22716
d_adam_schiff_20080129_1100132648.txt	1	0.6992382	22716
d_adam_schiff_20080311_1100143111.txt	1	0.6051987	22716
