filename	trueclass	predclass_prob	numfeatures
d_adam_smith_19990209_1060003674.txt	1	0	7914
d_adam_smith_19990210_1060004103.txt	1	0	7914
d_adam_smith_19990224_1060005914.txt	1	0	7914
d_adam_smith_19990303_1060007820.txt	1	1	7914
d_adam_smith_19990316_1060011988.txt	1	1	7914
d_adam_smith_19990324_1060016210.txt	1	1	7914
d_adam_smith_19990324_1060016212.txt	1	1	7914
d_adam_smith_19990324_1060016214.txt	1	0	7914
d_adam_smith_19990324_1060016215.txt	1	1	7914
d_adam_smith_19990324_1060016219.txt	1	1	7914
d_adam_smith_19990415_1060021408.txt	1	1	7914
d_adam_smith_19990415_1060021414.txt	1	1	7914
d_adam_smith_19990421_1060022633.txt	1	1	7914
d_adam_smith_19990429_1060025443.txt	1	0	7914
d_adam_smith_19990505_1060027375.txt	1	1	7914
d_adam_smith_19990519_1060033868.txt	1	0	7914
d_adam_smith_19990519_1060033870.txt	1	0	7914
d_adam_smith_19990519_1060033874.txt	1	0	7914
d_adam_smith_19990519_1060033876.txt	1	1	7914
d_adam_smith_19990519_1060033878.txt	1	0	7914
d_adam_smith_19990609_1060042689.txt	1	1	7914
d_adam_smith_19990616_1060046287.txt	1	1	7914
d_adam_smith_19990623_1060051068.txt	1	1	7914
d_adam_smith_19990713_1060057644.txt	1	1	7914
d_adam_smith_19990722_1060064408.txt	1	0	7914
d_adam_smith_19990805_1060074974.txt	1	1	7914
d_adam_smith_19990914_1060078807.txt	1	0	7914
d_adam_smith_19990923_1060083665.txt	1	0	7914
d_adam_smith_20000301_1060117989.txt	1	1	7914
d_adam_smith_20000315_1060121814.txt	1	1	7914
d_adam_smith_20000405_1060128760.txt	1	1	7914
d_adam_smith_20000504_1060137074.txt	1	1	7914
d_adam_smith_20000517_1060142159.txt	1	1	7914
d_adam_smith_20000524_1060145833.txt	1	1	7914
d_adam_smith_20000927_1060189367.txt	1	0	7914
d_adam_smith_20000928_1060189604.txt	1	0	7914
d_adam_smith_20001003_1060191527.txt	1	1	7914
d_alan_mollohan_19990202_1060002159.txt	1	1	7914
d_alan_mollohan_19990504_1060026476.txt	1	1	7914
d_alan_mollohan_19990804_1060073913.txt	1	0	7914
d_alan_mollohan_19990804_1060073960.txt	1	0	7914
d_alan_mollohan_19990908_1060076400.txt	1	1	7914
d_alan_mollohan_19990908_1060076437.txt	1	1	7914
d_alan_mollohan_19990908_1060076441.txt	1	0	7914
d_alan_mollohan_19990908_1060076498.txt	1	1	7914
d_alan_mollohan_19990908_1060076583.txt	1	1	7914
d_alan_mollohan_19990908_1060076642.txt	1	1	7914
d_alan_mollohan_19990909_1060077357.txt	1	1	7914
d_alan_mollohan_19990909_1060077361.txt	1	1	7914
d_alan_mollohan_19990909_1060077402.txt	1	0	7914
d_alan_mollohan_19990909_1060077405.txt	1	0	7914
d_alan_mollohan_19990909_1060077542.txt	1	1	7914
d_alan_mollohan_19991004_1060088383.txt	1	1	7914
d_alan_mollohan_19991014_1060093823.txt	1	0	7914
d_alan_mollohan_19991014_1060093851.txt	1	0	7914
d_alan_mollohan_19991014_1060093862.txt	1	0	7914
d_alan_mollohan_20000615_1060154926.txt	1	0	7914
d_alan_mollohan_20000619_1060155865.txt	1	1	7914
d_alan_mollohan_20000619_1060155884.txt	1	0	7914
d_alan_mollohan_20000619_1060155932.txt	1	0	7914
d_alan_mollohan_20000620_1060156835.txt	1	1	7914
d_alan_mollohan_20000620_1060156836.txt	1	0	7914
d_alan_mollohan_20000620_1060156865.txt	1	1	7914
d_alan_mollohan_20000620_1060156920.txt	1	1	7914
d_alan_mollohan_20000620_1060157091.txt	1	1	7914
d_alan_mollohan_20000620_1060157161.txt	1	0	7914
d_alan_mollohan_20000621_1060158030.txt	1	0	7914
d_alan_mollohan_20000621_1060158111.txt	1	0	7914
d_alan_mollohan_20000621_1060158139.txt	1	0	7914
d_alan_mollohan_20000621_1060158151.txt	1	0	7914
d_alan_mollohan_20000621_1060158155.txt	1	1	7914
d_alan_mollohan_20000621_1060158165.txt	1	1	7914
d_alan_mollohan_20000621_1060158258.txt	1	0	7914
d_alan_mollohan_20000621_1060158297.txt	1	0	7914
d_alan_mollohan_20000621_1060158436.txt	1	0	7914
d_alan_mollohan_20000621_1060158543.txt	1	1	7914
d_alan_mollohan_20001018_1060198286.txt	1	1	7914
d_alan_mollohan_20001018_1060198431.txt	1	0	7914
d_alan_mollohan_20001019_1060199041.txt	1	0	7914
