filename	trueclass	predclass_prob	numfeatures
d_abraham_kazen_19810331_970016551.txt	1	0.5411005	29814
d_abraham_kazen_19810604_970037379.txt	1	0.29592422	29814
d_abraham_kazen_19810609_970038355.txt	1	0.6919006	29814
d_abraham_kazen_19810618_970043249.txt	1	0.77788657	29814
d_abraham_kazen_19810618_970043263.txt	1	0.74096155	29814
d_abraham_kazen_19810618_970043267.txt	1	0.40474167	29814
d_abraham_kazen_19810618_970043271.txt	1	0.7868027	29814
d_abraham_kazen_19810618_970043273.txt	1	0.3935983	29814
d_abraham_kazen_19810618_970043290.txt	1	0.5835074	29814
d_abraham_kazen_19810618_970043359.txt	1	0.3697766	29814
d_abraham_kazen_19810714_970054567.txt	1	0.46117055	29814
d_abraham_kazen_19810728_970067763.txt	1	0.66065735	29814
d_abraham_kazen_19810915_970077540.txt	1	0.51773566	29814
d_abraham_kazen_19810916_970077926.txt	1	0.5323132	29814
d_abraham_kazen_19810916_970077930.txt	1	0.7017342	29814
d_abraham_kazen_19810916_970077964.txt	1	0.577407	29814
d_abraham_kazen_19811005_970089847.txt	1	0.81245923	29814
d_abraham_kazen_19811022_970098696.txt	1	0.7156932	29814
d_abraham_kazen_19811028_970102360.txt	1	0.5990862	29814
d_abraham_kazen_19811028_970102399.txt	1	0.5185374	29814
d_abraham_kazen_19811029_970103494.txt	1	0.6762551	29814
d_abraham_kazen_19811117_970112439.txt	1	0.41301733	29814
d_abraham_kazen_19811216_970131741.txt	1	0.6506836	29814
d_abraham_kazen_19820429_970159046.txt	1	0.6363052	29814
d_abraham_kazen_19820429_970159087.txt	1	0.5432971	29814
d_abraham_kazen_19820429_970159120.txt	1	0.48112017	29814
d_abraham_kazen_19820505_970161694.txt	1	0.58099574	29814
d_abraham_kazen_19820506_970162100.txt	1	0.57133025	29814
d_abraham_kazen_19820506_970162104.txt	1	0.62297606	29814
d_abraham_kazen_19820506_970162131.txt	1	0.65127254	29814
d_abraham_kazen_19820506_970162195.txt	1	0.66000795	29814
d_abraham_kazen_19820506_970162200.txt	1	0.34220624	29814
d_abraham_kazen_19820506_970162234.txt	1	0.6212635	29814
d_abraham_kazen_19820512_970165008.txt	1	0.767247	29814
d_abraham_kazen_19820524_970175107.txt	1	0.6805477	29814
d_abraham_kazen_19820608_970183768.txt	1	0.797958	29814
d_abraham_kazen_19820616_970187904.txt	1	0.5215952	29814
d_abraham_kazen_19820623_970193354.txt	1	0.7664144	29814
d_abraham_kazen_19820728_970209838.txt	1	0.5860703	29814
d_abraham_kazen_19820728_970209844.txt	1	0.49929336	29814
d_abraham_kazen_19820810_970219641.txt	1	0.52213615	29814
d_abraham_kazen_19820816_970225976.txt	1	0.55609745	29814
d_abraham_kazen_19820908_970231377.txt	1	0.37857634	29814
d_abraham_kazen_19820929_970244345.txt	1	0.6157176	29814
d_abraham_kazen_19820929_970245169.txt	1	0.5806832	29814
d_abraham_kazen_19821001_970250588.txt	1	0.43961334	29814
d_abraham_kazen_19821001_970250590.txt	1	0.39981848	29814
d_abraham_kazen_19821130_970253668.txt	1	0.58316207	29814
d_abraham_kazen_19821206_970256847.txt	1	0.4228021	29814
d_abraham_kazen_19821208_970259488.txt	1	0.48754373	29814
d_abraham_kazen_19821209_970260600.txt	1	0.7552858	29814
d_abraham_kazen_19821209_970260604.txt	1	0.5998691	29814
d_abraham_kazen_19821209_970260612.txt	1	0.6134834	29814
d_abraham_kazen_19821209_970260614.txt	1	0.4277809	29814
d_abraham_kazen_19821213_970262780.txt	1	0.70098346	29814
d_abraham_kazen_19821213_970263176.txt	1	0.67563677	29814
d_abraham_kazen_19821213_970263184.txt	1	0.6534183	29814
d_abraham_kazen_19821213_970263195.txt	1	0.97876704	29814
d_abraham_kazen_19821214_970263912.txt	1	0.56399584	29814
d_abraham_kazen_19821216_970269440.txt	1	0.29817143	29814
d_abraham_kazen_19821217_970274701.txt	1	0.43767956	29814
d_abraham_kazen_19821217_970274703.txt	1	0.3360655	29814
d_abraham_kazen_19821217_970274705.txt	1	0.6826958	29814
d_abraham_kazen_19821217_970274715.txt	1	0.6176513	29814
d_abraham_kazen_19821217_970274940.txt	1	0.3693054	29814
d_abraham_kazen_19821217_970274954.txt	1	0.60486174	29814
d_abraham_kazen_19821218_970275523.txt	1	0.6682648	29814
d_abraham_kazen_19821218_970275600.txt	1	0.39515918	29814
d_abraham_kazen_19821218_970275721.txt	1	0.5615497	29814
d_adam_benjamin_19810507_970026328.txt	1	0.6913147	29814
d_adam_benjamin_19810717_970058903.txt	1	0.6080582	29814
d_adam_benjamin_19810910_970075023.txt	1	0.9862997	29814
d_adam_benjamin_19810910_970075025.txt	1	0.9941298	29814
