filename	trueclass	predclass_prob	numfeatures
d_adam_schiff_20050125_1090001801.txt	1	0.41455644	8091
d_adam_schiff_20050126_1090002165.txt	1	0.11235872	8091
d_adam_schiff_20050126_1090002213.txt	1	0.944386	8091
d_adam_schiff_20050310_1090011644.txt	1	0.1491331	8091
d_adam_schiff_20050317_1090015165.txt	1	0.9246107	8091
d_adam_schiff_20050414_1090020315.txt	1	0.9453103	8091
d_adam_schiff_20050426_1090024841.txt	1	0.83625793	8091
d_adam_schiff_20050511_1090029343.txt	1	0.8500617	8091
d_adam_schiff_20050519_1090033622.txt	1	0.72637784	8091
d_adam_schiff_20050524_1090035621.txt	1	0.8070397	8091
d_adam_schiff_20050607_1090037900.txt	1	0.48827854	8091
d_adam_schiff_20050609_1090039072.txt	1	0.5801167	8091
d_adam_schiff_20050609_1090039086.txt	1	0.7969502	8091
d_adam_schiff_20050615_1090040909.txt	1	0.7641544	8091
d_adam_schiff_20050615_1090041083.txt	1	0.4555882	8091
d_adam_schiff_20050615_1090041091.txt	1	0.50673515	8091
d_adam_schiff_20050617_1090042748.txt	1	0.37887308	8091
d_adam_schiff_20050627_1090048657.txt	1	0.60218334	8091
d_adam_schiff_20050628_1090049573.txt	1	0.68905365	8091
d_adam_schiff_20050719_1090057363.txt	1	0.40114647	8091
d_adam_schiff_20050721_1090059692.txt	1	0.6731058	8091
d_adam_schiff_20050721_1090059956.txt	1	0.087109454	8091
d_adam_schiff_20050721_1090059960.txt	1	0.23144856	8091
d_adam_schiff_20050726_1090062417.txt	1	0.43969685	8091
d_adam_schiff_20050902_1090066148.txt	1	0.9278011	8091
d_adam_schiff_20050915_1090069525.txt	1	0.59940505	8091
d_adam_schiff_20050922_1090072524.txt	1	0.67301196	8091
d_adam_schiff_20051007_1090077633.txt	1	0.7426473	8091
d_adam_schiff_20051026_1090082359.txt	1	0.8638832	8091
d_adam_schiff_20051027_1090082693.txt	1	0.748728	8091
d_adam_schiff_20051027_1090082699.txt	1	0.8452742	8091
d_adam_schiff_20051027_1090082709.txt	1	0.92705435	8091
d_adam_schiff_20051116_1090092479.txt	1	0.779725	8091
d_adam_schiff_20051216_1090100149.txt	1	0.54237795	8091
d_adam_schiff_20051216_1090100748.txt	1	0.9924576	8091
d_adam_schiff_20060215_1090108542.txt	1	0.773451	8091
d_adam_schiff_20060216_1090108896.txt	1	0.5741072	8091
d_adam_schiff_20060309_1090113095.txt	1	0.735332	8091
d_adam_schiff_20060309_1090113400.txt	1	0.89928424	8091
d_adam_schiff_20060316_1090116717.txt	1	0.8293567	8091
d_adam_schiff_20060328_1090118356.txt	1	0.99309844	8091
d_adam_schiff_20060406_1090122465.txt	1	0.99948364	8091
d_adam_schiff_20060406_1090122469.txt	1	0.8818563	8091
d_adam_schiff_20060406_1090122474.txt	1	0.8997642	8091
d_adam_schiff_20060406_1090122476.txt	1	0.6128048	8091
d_adam_schiff_20060406_1090122478.txt	1	0.18662229	8091
