model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
transformer_e64_2_d3_10_l32_m_/r_/transformer_e64_2_d3_10_l32__max_balanced_0_1_1_new,0.6572123176661264,0.5617657529369883,0.6735099337748345,0.7731715537580047,0.7391461649782923,0.8225402504472272,0.7438544739429696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7101714925006348
transformer_e64_2_d3_10_l128_m_/r_/transformer_e64_2_d3_10_l128__max_balanced_0_1_1_new,0.6288492706645057,0.5706657173371307,0.7341059602649007,0.6670037074486013,0.7069464544138929,0.8386404293381038,0.7807276302851525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7038484528217553
transformer_e512_2_d3_10_l128_m_/r_/transformer_e512_2_d3_10_l128__max_balanced_0_1_1_new,0.0,0.0,0.7576158940397351,0.19177620492079542,1.0,0.0,0.7738446411012783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3890338200088298
transformer_e50_2_d3_10_l128_m_/r_/transformer_e50_2_d3_10_l128__max_balanced_0_1_1_new,0.5008103727714749,0.6037735849056604,0.7221854304635762,0.7040781934614089,0.7337192474674384,0.80608228980322,0.7212389380530974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6845554367036966
transformer_e50_2_d3_10_l128_glove_trainable_m_/r_/transformer_e50_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.5891410048622366,0.6724813100747598,0.7516556291390728,0.7960903269295585,0.7937771345875543,0.7813953488372093,0.7354965585054081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7314339018479714
transformer_e50_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e50_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.5899513776337115,0.5286578853684585,0.6602649006622516,0.6491405460060667,0.6114327062228654,0.6243291592128801,0.6229105211406096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6123838708924062
transformer_e32_2_d3_10_m_/r_/transformer_e32_2_d3_10__max_balanced_0_1_1_new,0.6385737439222042,0.6632253470986116,0.6552980132450331,0.6474553420963937,0.7322720694645442,0.8135957066189624,0.8171091445427728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7096470524269317
transformer_e32_2_d3_10_l32_m_/r_/transformer_e32_2_d3_10_l32__max_balanced_0_1_1_new,0.6673419773095624,0.6130295478818085,0.6854304635761589,0.8500168520390967,0.8172937771345875,0.7914132379248658,0.8156342182890856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7485942963078809
transformer_e32_2_d3_10_l16_m_/r_/transformer_e32_2_d3_10_l16__max_balanced_0_1_1_new,0.713128038897893,0.6678533285866857,0.6735099337748345,0.837546343107516,0.6758321273516642,0.7617173524150268,0.8205506391347099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7357339661811899
transformer_e300_2_d3_10_l128_m_/r_/transformer_e300_2_d3_10_l128__max_balanced_0_1_1_new,0.63290113452188,0.6422214311142755,0.6844370860927153,0.7765419615773509,0.7286541244573083,0.8286225402504472,0.7453294001966568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7198153826015191
