model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
transformer_e64_2_d3_10_l32_m_/r_/transformer_e64_2_d3_10_l32__max_balanced_0_1_1_new,0.6537682333873582,0.6753292986828052,0.7160596026490066,0.731041456016178,0.7760492040520984,0.7944543828264758,0.7868731563421829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7333679048508721
transformer_e64_2_d3_10_l128_m_/r_/transformer_e64_2_d3_10_l128__max_balanced_0_1_1_new,0.6503241491085899,0.6801352794588822,0.7172185430463576,0.7180653859116953,0.7800289435600579,0.7932021466905188,0.7932645034414946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7331769930310851
transformer_e512_2_d3_10_l128_m_/r_/transformer_e512_2_d3_10_l128__max_balanced_0_1_1_new,0.5,0.5,0.7122516556291391,0.5166835187057633,0.5,0.5,0.7940019665683382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5747053058433201
transformer_e50_2_d3_10_l128_m_/r_/transformer_e50_2_d3_10_l128__max_balanced_0_1_1_new,0.6515397082658023,0.683873264506942,0.7163907284768212,0.7221098752949107,0.7807525325615051,0.7980322003577818,0.79031465093412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7347161371996976
transformer_e50_2_d3_10_l128_glove_trainable_m_/r_/transformer_e50_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.5946110210696921,0.6432894268422926,0.704635761589404,0.7177283451297607,0.7702604920405209,0.7917710196779965,0.7812192723697149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7147879055313402
transformer_e50_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e50_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.5615883306320908,0.605375578497686,0.6322847682119205,0.6117290192113246,0.6696816208393632,0.6744186046511628,0.632251720747296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6267613775415491
transformer_e32_2_d3_10_m_/r_/transformer_e32_2_d3_10__max_balanced_0_1_1_new,0.646677471636953,0.6899252402990388,0.7187086092715231,0.7219413549039434,0.7789435600578871,0.8001788908765652,0.7947394296951819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7358735081058703
transformer_e32_2_d3_10_l32_m_/r_/transformer_e32_2_d3_10_l32__max_balanced_0_1_1_new,0.6509319286871961,0.680313278746885,0.7273178807947019,0.7204246713852376,0.7726121562952243,0.8007155635062612,0.7912979351032449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7348019163598216
transformer_e32_2_d3_10_l16_m_/r_/transformer_e32_2_d3_10_l16__max_balanced_0_1_1_new,0.6499189627228525,0.6915272338910644,0.7220198675496688,0.7204246713852376,0.7784008683068018,0.7948121645796065,0.7841691248770895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7344675561874744
transformer_e300_2_d3_10_l128_m_/r_/transformer_e300_2_d3_10_l128__max_balanced_0_1_1_new,0.6523500810372771,0.663937344250623,0.7114238410596027,0.7249747219413549,0.7794862518089725,0.7971377459749552,0.7876106194690266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7309886579345444
transformer_e300_2_d3_10_l128_glove_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.6102106969205835,0.6399074403702385,0.7041390728476821,0.7231209976407146,0.7599493487698987,0.7805008944543829,0.7782694198623402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7137282672665487
transformer_e300_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.570097244732577,0.6044855820576718,0.6490066225165563,0.6418941691944725,0.7071273516642547,0.7150268336314848,0.6772369714847591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6521249678973966
transformer_e300_2_d3_10_l128_glove840_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove840_trainable__max_balanced_0_1_1_new,0.6237844408427877,0.6669633321466714,0.7109271523178808,0.720593191776205,0.7771345875542692,0.7910554561717352,0.7888397246804326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725613983641426
transformer_e300_2_d3_10_l128_glove840_not_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove840_not_trainable__max_balanced_0_1_1_new,0.5709076175040518,0.6066215735137059,0.645364238410596,0.6508257499157398,0.6966353111432706,0.7264758497316637,0.7089478859390363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6579683180225805
